Scheme Name,HHI,Concentration
Axis Bluechip Fund - Regular - Growth,0.297,Highly Concentrated
Mirae Asset Tax Saver Fund - Regular - Growth,0.255,Highly Concentrated
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.253,Highly Concentrated
UTI Flexi Cap Fund - Regular - Growth,0.251,Highly Concentrated
DSP Midcap Fund - Regular - Growth,0.241,Moderately Concentrated
ICICI Pru Midcap Fund - Regular - Growth,0.239,Moderately Concentrated
Nippon India ETF Nifty 50 BeES,0.237,Moderately Concentrated
SBI Small Cap Fund - Direct Plan - Growth,0.232,Moderately Concentrated
ICICI Pru Value Discovery Fund - Regular - Growth,0.231,Moderately Concentrated
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.228,Moderately Concentrated
SBI Bluechip Fund - Direct Plan - Growth,0.228,Moderately Concentrated
ABSL Small Cap Fund - Regular - Growth,0.223,Moderately Concentrated
ICICI Pru Bluechip Fund - Direct - Growth,0.221,Moderately Concentrated
Nippon India Large Cap Fund - Direct - Growth,0.221,Moderately Concentrated
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.218,Moderately Concentrated
Kotak Bluechip Fund - Regular - Growth,0.216,Moderately Concentrated
Nippon India Large Cap Fund - Regular - Growth,0.207,Moderately Concentrated
Mirae Asset Large Cap Fund - Regular - Growth,0.201,Moderately Concentrated
DSP Small Cap Fund - Regular - Growth,0.189,Moderately Concentrated
SBI Small Cap Fund - Regular Plan - Growth,0.188,Moderately Concentrated
Axis Bluechip Fund - Direct - Growth,0.184,Moderately Concentrated
DSP Top 100 Equity Fund - Regular - Growth,0.183,Moderately Concentrated
ICICI Pru Bluechip Fund - Regular - Growth,0.182,Moderately Concentrated
UTI Nifty 50 Index Fund - Regular - Growth,0.181,Moderately Concentrated
HDFC Top 100 Fund - Regular Plan - Growth,0.181,Moderately Concentrated
ABSL Frontline Equity Fund - Regular - Growth,0.18,Moderately Concentrated
Axis Midcap Fund - Regular - Growth,0.175,Moderately Concentrated
HDFC Top 100 Fund - Direct Plan - Growth,0.172,Moderately Concentrated
Kotak Emerging Equity Fund - Regular - Growth,0.162,Moderately Concentrated
Nippon India Small Cap Fund - Regular - Growth,0.16,Moderately Concentrated
Axis Small Cap Fund - Regular - Growth,0.16,Moderately Concentrated
SBI Bluechip Fund - Regular Plan - Growth,0.142,Highly Diversified
Kotak Flexicap Fund - Regular - Growth,0.136,Highly Diversified
UTI Mid Cap Fund - Regular - Growth,0.124,Highly Diversified
